                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.07411,                0.81739,                      1,                0.49997,             0.00040769,             0.00040769,             0.00040769
                     68,                0.08429,                0.83478,                      1,                0.44321,             0.00040298,             0.00040298,             0.00040298
                     69,                0.08166,                0.90435,                      1,                0.39636,             0.00039827,             0.00039827,             0.00039827
                     70,                0.09782,                0.92174,                      1,                 0.3913,             0.00039356,             0.00039356,             0.00039356
                     71,                0.05759,                0.86957,                      1,                0.42664,             0.00038884,             0.00038884,             0.00038884
                     72,                0.06401,                0.92174,                      1,                0.39566,             0.00038413,             0.00038413,             0.00038413
                     73,                0.06798,                0.91304,                      1,                0.42047,             0.00037942,             0.00037942,             0.00037942
                     74,                0.06708,                0.89565,                      1,                0.41754,             0.00037471,             0.00037471,             0.00037471
                     75,                0.06043,                0.86087,                      1,                 0.4277,             0.00036999,             0.00036999,             0.00036999
                     76,                0.04546,                0.87826,                      1,                0.42484,             0.00036528,             0.00036528,             0.00036528
                     77,                 0.0737,                0.89565,                      1,                0.42221,             0.00036057,             0.00036057,             0.00036057
                     78,                0.04392,                0.83478,                      1,                0.47754,             0.00035586,             0.00035586,             0.00035586
                     79,                0.06295,                0.86957,                      1,                0.44669,             0.00035115,             0.00035115,             0.00035115
                     80,                0.05026,                0.82609,                      1,                0.45898,             0.00034643,             0.00034643,             0.00034643
                     81,                0.04668,                0.83478,                      1,                0.48727,             0.00034172,             0.00034172,             0.00034172
                     82,                0.07711,                0.84348,                      1,                0.47043,             0.00033701,             0.00033701,             0.00033701
                     83,                0.06164,                0.84348,                      1,                0.44928,              0.0003323,              0.0003323,              0.0003323
                     84,                0.03353,                0.93043,                      1,                0.37866,             0.00032758,             0.00032758,             0.00032758
                     85,                0.02352,                0.92174,                      1,                0.38165,             0.00032287,             0.00032287,             0.00032287
                     86,                0.03561,                0.87826,                      1,                0.41766,             0.00031816,             0.00031816,             0.00031816
                     87,                0.02548,                0.92174,                      1,                0.41238,             0.00031345,             0.00031345,             0.00031345
                     88,                0.04898,                0.89565,                      1,                0.40613,             0.00030873,             0.00030873,             0.00030873
                     89,                0.04021,                0.84348,                      1,                0.46942,             0.00030402,             0.00030402,             0.00030402
                     90,                0.06655,                0.89565,                      1,                0.40106,             0.00029931,             0.00029931,             0.00029931
                     91,                0.05448,                0.88696,                      1,                0.41922,              0.0002946,              0.0002946,              0.0002946
                     92,                0.02751,                0.86087,                      1,                0.41779,             0.00028988,             0.00028988,             0.00028988
                     93,                 0.0343,                0.88696,                      1,                0.40323,             0.00028517,             0.00028517,             0.00028517
                     94,                0.04296,                0.84348,                      1,                 0.4274,             0.00028046,             0.00028046,             0.00028046
                     95,                0.04403,                0.93043,                      1,                0.38382,             0.00027575,             0.00027575,             0.00027575
                     96,                 0.0329,                0.92174,                      1,                0.38571,             0.00027103,             0.00027103,             0.00027103
                     97,                0.04206,                0.91304,                      1,                0.39453,             0.00026632,             0.00026632,             0.00026632
                     98,                 0.0362,                0.90435,                      1,                0.42075,             0.00026161,             0.00026161,             0.00026161
                     99,                0.03532,                0.90435,                      1,                0.38724,              0.0002569,              0.0002569,              0.0002569
                    100,                0.01953,                0.87826,                      1,                0.40723,             0.00025218,             0.00025218,             0.00025218
                    101,                0.05064,                0.86957,                      1,                0.45404,             0.00024747,             0.00024747,             0.00024747
                    102,                0.03401,                0.91304,                      1,                0.39606,             0.00024276,             0.00024276,             0.00024276
                    103,                0.04484,                0.86087,                      1,                0.45767,             0.00023805,             0.00023805,             0.00023805
                    104,                0.04181,                0.88696,                      1,                0.42679,             0.00023334,             0.00023334,             0.00023334
                    105,                0.02516,                0.86087,                      1,                0.44708,             0.00022862,             0.00022862,             0.00022862
                    106,                0.03446,                0.90435,                      1,                0.40244,             0.00022391,             0.00022391,             0.00022391
                    107,                0.03919,                0.93043,                      1,                0.37903,              0.0002192,              0.0002192,              0.0002192
                    108,                  0.055,                0.85217,                      1,                0.44217,             0.00021449,             0.00021449,             0.00021449
                    109,                0.04575,                0.91304,                      1,                0.39124,             0.00020977,             0.00020977,             0.00020977
                    110,                0.03547,                0.90435,                      1,                0.41754,             0.00020506,             0.00020506,             0.00020506
                    111,                0.02021,                0.89565,                      1,                0.40866,             0.00020035,             0.00020035,             0.00020035
                    112,                0.02647,                0.90435,                      1,                0.38696,             0.00019564,             0.00019564,             0.00019564
                    113,                0.01182,                0.90435,                      1,                0.39725,             0.00019092,             0.00019092,             0.00019092
                    114,                0.02072,                0.92174,                      1,                0.38315,             0.00018621,             0.00018621,             0.00018621
                    115,                0.03431,                0.90435,                      1,                0.39502,              0.0001815,              0.0001815,              0.0001815
                    116,                0.02073,                0.82609,                      1,                0.45145,             0.00017679,             0.00017679,             0.00017679
                    117,                 0.0345,                 0.7913,                      1,                0.47351,             0.00017207,             0.00017207,             0.00017207
                    118,                0.02883,                0.88696,                      1,                0.41058,             0.00016736,             0.00016736,             0.00016736
                    119,                0.04939,                0.90435,                      1,                0.42841,             0.00016265,             0.00016265,             0.00016265
                    120,                 0.0152,                0.89565,                      1,                0.40491,             0.00015794,             0.00015794,             0.00015794
                    121,                0.01912,                0.87826,                      1,                  0.418,             0.00015322,             0.00015322,             0.00015322
                    122,                0.02401,                0.89565,                      1,                0.40594,             0.00014851,             0.00014851,             0.00014851
