                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.04951,                0.88696,                      1,                0.42303,             0.00040769,             0.00040769,             0.00040769
                     68,                0.03476,                0.86087,                      1,                0.42426,             0.00040298,             0.00040298,             0.00040298
                     69,                0.06258,                0.91304,                      1,                0.38446,             0.00039827,             0.00039827,             0.00039827
                     70,                0.03871,                0.88696,                      1,                0.42538,             0.00039356,             0.00039356,             0.00039356
                     71,                0.03653,                0.90435,                      1,                0.40024,             0.00038884,             0.00038884,             0.00038884
                     72,                0.03176,                0.91304,                      1,                0.38406,             0.00038413,             0.00038413,             0.00038413
                     73,                0.04143,                0.90435,                      1,                0.40305,             0.00037942,             0.00037942,             0.00037942
                     74,                 0.0312,                0.89565,                      1,                0.40994,             0.00037471,             0.00037471,             0.00037471
                     75,                0.04086,                0.89565,                      1,                 0.3988,             0.00036999,             0.00036999,             0.00036999
                     76,                0.03077,                0.86087,                      1,                0.46167,             0.00036528,             0.00036528,             0.00036528
                     77,                0.07121,                0.88696,                      1,                0.43768,             0.00036057,             0.00036057,             0.00036057
                     78,                0.03096,                0.89565,                      1,                0.43048,             0.00035586,             0.00035586,             0.00035586
                     79,                 0.0423,                0.91304,                      1,                0.39212,             0.00035115,             0.00035115,             0.00035115
                     80,                0.03947,                0.87826,                      1,                0.42004,             0.00034643,             0.00034643,             0.00034643
                     81,                0.03347,                0.93043,                      1,                0.37866,             0.00034172,             0.00034172,             0.00034172
                     82,                0.01986,                0.89565,                      1,                0.44778,             0.00033701,             0.00033701,             0.00033701
                     83,                0.02562,                0.83478,                      1,                0.43744,              0.0003323,              0.0003323,              0.0003323
                     84,                0.01295,                0.94783,                      1,                0.36359,             0.00032758,             0.00032758,             0.00032758
                     85,                0.04766,                0.92174,                      1,                 0.3707,             0.00032287,             0.00032287,             0.00032287
                     86,                0.03973,                    0.8,                      1,                0.52213,             0.00031816,             0.00031816,             0.00031816
                     87,                0.06786,                0.93043,                      1,                0.40414,             0.00031345,             0.00031345,             0.00031345
                     88,                0.02596,                0.95652,                      1,                0.35538,             0.00030873,             0.00030873,             0.00030873
                     89,                 0.0356,                0.85217,                      1,                0.44247,             0.00030402,             0.00030402,             0.00030402
                     90,                0.04431,                0.93043,                      1,                0.36908,             0.00029931,             0.00029931,             0.00029931
                     91,                 0.0298,                0.95652,                      1,                0.36646,              0.0002946,              0.0002946,              0.0002946
                     92,                0.01317,                0.95652,                      1,                0.36646,             0.00028988,             0.00028988,             0.00028988
                     93,                0.02834,                0.94783,                      1,                0.36841,             0.00028517,             0.00028517,             0.00028517
                     94,                0.03337,                0.93913,                      1,                0.38684,             0.00028046,             0.00028046,             0.00028046
                     95,                0.02456,                0.89565,                      1,                 0.4003,             0.00027575,             0.00027575,             0.00027575
                     96,                0.02202,                0.90435,                      1,                0.38766,             0.00027103,             0.00027103,             0.00027103
                     97,                0.02496,                0.89565,                      1,                0.39969,             0.00026632,             0.00026632,             0.00026632
                     98,                0.02092,                0.90435,                      1,                0.42096,             0.00026161,             0.00026161,             0.00026161
                     99,                0.03174,                0.93913,                      1,                0.39569,              0.0002569,              0.0002569,              0.0002569
                    100,                0.01238,                0.93043,                      1,                0.37784,             0.00025218,             0.00025218,             0.00025218
                    101,                0.01492,                0.86957,                      1,                0.42941,             0.00024747,             0.00024747,             0.00024747
                    102,                0.01077,                0.91304,                      1,                0.39035,             0.00024276,             0.00024276,             0.00024276
                    103,                0.01039,                0.86087,                      1,                0.46048,             0.00023805,             0.00023805,             0.00023805
                    104,                0.00958,                0.84348,                      1,                0.45932,             0.00023334,             0.00023334,             0.00023334
                    105,                0.01915,                0.92174,                      1,                0.39401,             0.00022862,             0.00022862,             0.00022862
                    106,                 0.0328,                0.91304,                      1,                0.41833,             0.00022391,             0.00022391,             0.00022391
                    107,                0.02454,                0.81739,                      1,                0.45096,              0.0002192,              0.0002192,              0.0002192
                    108,                0.02948,                0.91304,                      1,                0.39316,             0.00021449,             0.00021449,             0.00021449
                    109,                0.01062,                0.91304,                      1,                0.38577,             0.00020977,             0.00020977,             0.00020977
                    110,                0.01449,                0.88696,                      1,                0.44839,             0.00020506,             0.00020506,             0.00020506
                    111,                0.02102,                0.85217,                      1,                0.46405,             0.00020035,             0.00020035,             0.00020035
                    112,                0.01087,                0.88696,                      1,                0.43323,             0.00019564,             0.00019564,             0.00019564
                    113,                 0.0098,                0.89565,                      1,                0.39172,             0.00019092,             0.00019092,             0.00019092
                    114,                0.01005,                0.86957,                      1,                0.41739,             0.00018621,             0.00018621,             0.00018621
                    115,                0.00516,                0.86087,                      1,                 0.4342,              0.0001815,              0.0001815,              0.0001815
                    116,                0.01128,                0.89565,                      1,                 0.3959,             0.00017679,             0.00017679,             0.00017679
                    117,                0.01035,                0.89565,                      1,                0.40063,             0.00017207,             0.00017207,             0.00017207
                    118,                0.00971,                0.90435,                      1,                0.38599,             0.00016736,             0.00016736,             0.00016736
                    119,                0.00919,                0.92174,                      1,                0.41928,             0.00016265,             0.00016265,             0.00016265
                    120,                0.00776,                0.93043,                      1,                0.37439,             0.00015794,             0.00015794,             0.00015794
                    121,                0.00552,                0.92174,                      1,                0.38177,             0.00015322,             0.00015322,             0.00015322
                    122,                0.01077,                0.92174,                      1,                0.39383,             0.00014851,             0.00014851,             0.00014851
                    123,                0.00994,                0.93043,                      1,                0.39447,              0.0001438,              0.0001438,              0.0001438
                    124,                0.00411,                0.93913,                      1,                0.38083,             0.00013909,             0.00013909,             0.00013909
                    125,                0.00478,                0.93913,                      1,                0.39618,             0.00013437,             0.00013437,             0.00013437
                    126,                0.00536,                0.93913,                      1,                0.36008,             0.00012966,             0.00012966,             0.00012966
                    127,                0.00993,                0.91304,                      1,                0.38757,             0.00012495,             0.00012495,             0.00012495
                    128,                0.02585,                0.90435,                      1,                0.39169,             0.00012024,             0.00012024,             0.00012024
                    129,                0.00937,                0.88696,                      1,                0.41251,             0.00011553,             0.00011553,             0.00011553
                    130,                0.01993,                0.88696,                      1,                0.42636,             0.00011081,             0.00011081,             0.00011081
                    131,                0.01913,                0.92174,                      1,                0.37946,              0.0001061,              0.0001061,              0.0001061
                    132,                0.00822,                0.91304,                      1,                0.39075,             0.00010139,             0.00010139,             0.00010139
                    133,                 0.0021,                0.91304,                      1,                0.38535,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    134,                0.00394,                0.92174,                      1,                0.38348,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    135,                0.00859,                0.92174,                      1,                0.39194,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    136,                0.02333,                0.92174,                      1,                0.39099,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    137,                0.00473,                0.91304,                      1,                0.41003,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    138,                0.01214,                0.90435,                      1,                0.40042,             7.3114e-05,             7.3114e-05,             7.3114e-05
                    139,                0.00344,                0.89565,                      1,                0.40231,             6.8401e-05,             6.8401e-05,             6.8401e-05
                    140,                0.00133,                0.91304,                      1,                0.42841,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    141,                 0.0038,                0.92174,                      1,                0.39111,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    142,                0.00696,                0.92174,                      1,                0.42905,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    143,                0.01313,                0.91304,                      1,                0.44058,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    144,                0.01306,                0.88696,                      1,                0.41339,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    145,                0.00514,                0.86957,                      1,                0.42352,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    146,                0.01823,                0.91304,                      1,                 0.4039,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    147,                0.00646,                0.92174,                      1,                0.42368,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    148,                0.00719,                0.91304,                      1,                0.42676,              2.599e-05,              2.599e-05,              2.599e-05
                    149,                0.01032,                0.92174,                      1,                0.38974,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    150,                0.00783,                0.90435,                      1,                0.40695,             1.6565e-05,             1.6565e-05,             1.6565e-05
