                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.08564,                0.84348,                      1,                0.51532,             0.00040769,             0.00040769,             0.00040769
                     68,                0.07695,                0.88696,                      1,                0.39865,             0.00040298,             0.00040298,             0.00040298
                     69,                0.07403,                0.86957,                      1,                 0.4158,             0.00039827,             0.00039827,             0.00039827
                     70,                0.05517,                0.92174,                      1,                0.41122,             0.00039356,             0.00039356,             0.00039356
                     71,                0.03496,                0.89565,                      1,                0.46603,             0.00038884,             0.00038884,             0.00038884
                     72,                0.03863,                0.82609,                      1,                0.46445,             0.00038413,             0.00038413,             0.00038413
                     73,                0.03331,                0.87826,                      1,                0.43738,             0.00037942,             0.00037942,             0.00037942
                     74,                0.03885,                0.86087,                      1,                0.43286,             0.00037471,             0.00037471,             0.00037471
                     75,                0.04965,                0.88696,                      1,                0.41812,             0.00036999,             0.00036999,             0.00036999
                     76,                 0.0276,                0.89565,                      1,                0.43585,             0.00036528,             0.00036528,             0.00036528
                     77,                0.05097,                0.86957,                      1,                0.44168,             0.00036057,             0.00036057,             0.00036057
                     78,                0.01381,                0.84348,                      1,                0.47601,             0.00035586,             0.00035586,             0.00035586
                     79,                0.03328,                0.87826,                      1,                0.42813,             0.00035115,             0.00035115,             0.00035115
                     80,                0.05319,                0.87826,                      1,                0.41541,             0.00034643,             0.00034643,             0.00034643
                     81,                0.05121,                0.91304,                      1,                0.40796,             0.00034172,             0.00034172,             0.00034172
                     82,                0.05384,                0.86957,                      1,                 0.4682,             0.00033701,             0.00033701,             0.00033701
                     83,                0.03474,                0.77391,                      1,                0.49982,              0.0003323,              0.0003323,              0.0003323
                     84,                0.04394,                0.87826,                      1,                0.42221,             0.00032758,             0.00032758,             0.00032758
                     85,                0.03744,                0.88696,                      1,                0.41379,             0.00032287,             0.00032287,             0.00032287
                     86,                0.06796,                0.84348,                      1,                0.44122,             0.00031816,             0.00031816,             0.00031816
                     87,                0.03681,                0.86087,                      1,                0.44431,             0.00031345,             0.00031345,             0.00031345
                     88,                0.02512,                0.85217,                      1,                0.43314,             0.00030873,             0.00030873,             0.00030873
                     89,                0.03083,                0.82609,                      1,                0.45853,             0.00030402,             0.00030402,             0.00030402
                     90,                0.05829,                0.86957,                      1,                 0.4162,             0.00029931,             0.00029931,             0.00029931
                     91,                0.04363,                0.86957,                      1,                 0.4259,              0.0002946,              0.0002946,              0.0002946
                     92,                0.02497,                0.86087,                      1,                0.42792,             0.00028988,             0.00028988,             0.00028988
                     93,                0.03607,                0.90435,                      1,                0.39597,             0.00028517,             0.00028517,             0.00028517
