id,cyto_area,pb_area,area_ratio
23-2,90256.5,5137.0,0.0569155684078155
23-3,90256.0,2057.5,0.022796268392129056
24-1,100205.0,2410.0,0.024050696073050246
24-2,104845.0,2419.5,0.023076923076923078
24-3,100126.5,2493.0,0.024898503393207594
24-4,101557.0,2811.0,0.02767903738787085
24-5,98261.0,2306.5,0.02347319892938195
24-6,97016.0,2695.0,0.027778923064236828
24-7,99830.0,7.5,7.512771711910248e-05
24-8,111039.0,3275.5,0.029498644620358613
25-1,96319.5,3160.5,0.0328126703315528
25-2,104822.0,3193.0,0.030461162733014063
25-3,95123.0,2029.0,0.02133027764052858
25-4,97019.0,2279.0,0.02349024417897525
25-5,98633.0,4142.5,0.04199912808086543
25-6,102092.0,3074.5,0.030114994318849665
26-1,92352.0,2633.0,0.028510481635481637
26-2,91866.0,2088.0,0.022728757102736596
26-3,90591.5,-,-
27-1,103817.0,2018.5,0.019442865811957578
27-2,97306.0,1897.0,0.01949520070704787
28-10,102061.0,3023.5,0.029624440285711488
28-11,95429.5,3445.0,0.036099948129247245
28-12,107069.5,2716.0,0.02536670106799789
28-1,98710.5,2924.5,0.029627040689693598
28-2,101224.0,2671.0,0.026387022840433098
28-3,105012.0,3310.5,0.03152496857502
28-4,102773.5,3127.5,0.03043099631714401
28-5,99664.0,2308.0,0.023157810242414513
28-6,100640.0,2772.5,0.02754868839427663
28-7,97829.0,2283.5,0.023341749379018492
28-8,108042.5,3112.0,0.028803480111992966
28-9,99202.5,2384.0,0.02403165242811421
29-1,96132.0,1944.5,0.020227395664294927
29-2,98666.5,1903.0,0.01928719474188301
29-3,96698.0,2913.0,0.03012471819479203
29-4,99018.5,1843.0,0.01861268348843903
29-5,90781.0,2355.5,0.025947059406704047
29-6,97768.0,2738.5,0.0280101873823746
3-1,93044.0,1714.0,0.018421392029577405
3-2,101970.5,2449.0,0.0240167499423853
3-3,92251.5,2232.5,0.024200148507070345
3-4,78759.0,3259.0,0.04137939791008012
3-5,95114.5,2396.0,0.025190691219530145
3-6,92072.5,2072.5,0.022509435499199
3-7,92631.0,1575.0,0.017002947177510767
3-8,93894.0,2510.0,0.026732272562677063
30-1,95304.5,3169.0,0.033251315520253504
30-2,100451.5,2659.0,0.02647048575680801
30-3,93321.0,2517.5,0.026976779074377684
30-4,103836.5,2189.5,0.02108603429429921
30-5,90244.0,2018.5,0.022367137981472454
30-6,93887.5,2215.0,0.023592064971375316
30-7,90898.0,2938.0,0.0323219432770798
30-8,95110.5,2638.5,0.027741416562840064
30-9,95601.0,2716.5,0.028414974738757964
