id,cyto_area,pb_area,area_ratio
17-1,96459.5,2559.5,0.026534452283082537
18-1-f,91503.5,2393.0,0.02615200511455846
18-1,91564.0,2393.0,0.026134725437945042
18-2-f,97718.0,2872.0,0.029390695675310587
18-2,97843.0,2874.5,0.029378698527232402
18-3-f,89746.0,-,-
18-3,89662.0,-,-
18-4-f,98076.0,2616.5,0.026678290305477383
18-4,98089.0,2608.0,0.02658809856354943
18-5-f,99467.5,-,-
18-5,99447.5,-,-
18-6-f,89834.0,2979.0,0.03316116392457199
18-6,89752.0,3016.5,0.03360927890186291
18-7-f,91549.5,1878.0,0.02051349270067013
18-7,91516.5,1878.0,0.020520889675632262
19-1-f,100276.5,3301.0,0.0329189790230014
19-10-f,90914.0,2592.0,0.0285104604351365
19-10,90914.0,2592.0,0.0285104604351365
19-11-f,100451.5,2781.0,0.02768500221499928
19-11,100422.0,2766.0,0.027543765310390152
19-12-f,94990.5,3633.0,0.03824592985614351
19-12,94995.0,3633.0,0.03824411811147955
19-13-f,97739.0,1751.5,0.017920175160376105
19-13,97767.5,1751.5,0.017914951287493288
19-14-f,100118.0,2705.5,0.02702311272698216
19-14,100118.0,2705.5,0.02702311272698216
19-15-f,92187.5,2589.0,0.02808406779661017
19-15,92115.0,2589.0,0.02810617163328448
19-16-f,103679.5,2776.0,0.02677482048042284
19-16,103749.5,2776.0,0.026756755454243154
19-17-f,99709.0,1910.0,0.0191557432127491
19-17,99679.0,1910.0,0.01916150844209914
19-18-f,92677.0,2845.5,0.03070341077074139
19-18,92677.0,2845.5,0.03070341077074139
19-19-f,103778.0,2871.5,0.027669640964366242
19-19,103778.0,2871.5,0.027669640964366242
19-1,100276.5,3301.0,0.0329189790230014
19-2-f,98987.5,2908.5,0.029382497790125015
19-20-f,103990.0,2702.0,0.02598326762188672
19-20,103990.0,2702.0,0.02598326762188672
19-21-f,97645.5,3525.0,0.03609997388512527
19-21,97615.5,3525.0,0.036111068426633065
19-22-f,104534.5,2289.5,0.02190186015143326
19-22,104534.5,2289.5,0.02190186015143326
19-23-f,99789.0,2396.0,0.024010662497870507
19-23,99789.0,2396.0,0.024010662497870507
19-24-f,87657.5,2058.5,0.02348344408635884
19-24,87657.5,2058.5,0.02348344408635884
19-25-f,102690.5,2569.0,0.02501691977349414
19-25,102690.5,2569.0,0.02501691977349414
19-26-f,101969.5,2650.5,0.025993066554214742
19-26,101969.5,2650.5,0.025993066554214742
19-27-f,95744.5,2937.5,0.030680613507825513
19-27,95646.0,2937.5,0.030712209606256403
19-28-f,105668.0,3063.0,0.028987015936707425
19-28,105668.0,3063.0,0.028987015936707425
19-29-f,99891.0,2568.0,0.025708021743700633
19-29,99921.0,2568.0,0.02570030323955925
19-2,98953.0,2908.5,0.029392742008832476
19-3-f,102389.0,1990.5,0.019440564904433095
19-3,102389.0,1990.5,0.019440564904433095
19-4-f,94194.5,1892.0,0.02008609844523831
19-4,94194.5,1892.0,0.02008609844523831
19-5-f,98269.5,2869.0,0.029195223339896915
19-5,98269.5,2869.0,0.029195223339896915
19-6-f,90770.0,2515.5,0.027712900738129338
19-6,90770.0,2515.5,0.027712900738129338
19-7-f,99814.0,2782.5,0.027876850942753523
19-7,99814.0,2782.5,0.027876850942753523
19-8-f,99151.0,2391.0,0.024114734092444856
19-8,99151.0,2391.0,0.024114734092444856
19-9-f,99267.0,2694.0,0.02713892834476714
19-9,99219.0,2694.0,0.02715205756961872
2-1-f,92953.0,2137.0,0.02299011328305703
2-1,92959.0,2162.0,0.023257565163136436
2-2-f,101080.0,2879.0,0.028482390185991295
2-2,101177.5,2879.0,0.02845494304563762
2-3-f,94462.0,2979.5,0.031541783997798056
2-3,94496.0,2978.0,0.03151456146291907
2-4-f,95123.0,3208.0,0.03372475636807081
2-4,95094.5,3207.5,0.0337296058131648
2-5-f,110564.5,1698.5,0.015362073721673775
2-5,110655.5,1706.0,0.015417218303654133
2-6-f,101883.0,2798.5,0.027467781671132573
2-6,101842.5,2799.5,0.027488523946289613
2-7-f,95479.0,3167.0,0.03316959750311587
2-7,95608.5,3167.0,0.03312466987767824
